2026/04/19 15:39:41.788, 68549 MiB, 81920 MiB, 90 %, 285.88 W
2026/04/19 15:39:42.835, 68549 MiB, 81920 MiB, 89 %, 289.44 W
2026/04/19 15:39:43.868, 68549 MiB, 81920 MiB, 88 %, 275.53 W
2026/04/19 15:39:44.900, 68549 MiB, 81920 MiB, 87 %, 275.86 W
2026/04/19 15:39:45.931, 68549 MiB, 81920 MiB, 85 %, 220.05 W
2026/04/19 15:39:46.966, 68549 MiB, 81920 MiB, 88 %, 286.20 W
2026/04/19 15:39:47.999, 68549 MiB, 81920 MiB, 89 %, 306.64 W
2026/04/19 15:39:49.033, 68549 MiB, 81920 MiB, 90 %, 294.77 W
2026/04/19 15:39:50.066, 68549 MiB, 81920 MiB, 90 %, 285.02 W
2026/04/19 15:39:51.098, 68549 MiB, 81920 MiB, 88 %, 308.42 W
2026/04/19 15:39:52.130, 68549 MiB, 81920 MiB, 90 %, 297.77 W
2026/04/19 15:39:53.161, 68549 MiB, 81920 MiB, 90 %, 305.72 W
2026/04/19 15:39:54.197, 68549 MiB, 81920 MiB, 88 %, 300.42 W
2026/04/19 15:39:55.237, 68549 MiB, 81920 MiB, 90 %, 285.03 W
2026/04/19 15:39:56.268, 68549 MiB, 81920 MiB, 88 %, 296.88 W
2026/04/19 15:39:57.303, 68549 MiB, 81920 MiB, 86 %, 285.60 W
2026/04/19 15:39:58.335, 68549 MiB, 81920 MiB, 85 %, 251.43 W
2026/04/19 15:39:59.369, 68549 MiB, 81920 MiB, 85 %, 301.57 W
2026/04/19 15:40:00.402, 68549 MiB, 81920 MiB, 86 %, 286.20 W
2026/04/19 15:40:01.437, 68549 MiB, 81920 MiB, 87 %, 300.74 W
2026/04/19 15:40:04.932, 68549 MiB, 81920 MiB, 0 %, 97.58 W
