2026/04/19 13:59:38.499, 69485 MiB, 81559 MiB, 75 %, 570.65 W
2026/04/19 13:59:39.531, 69485 MiB, 81559 MiB, 78 %, 491.29 W
2026/04/19 13:59:40.562, 69485 MiB, 81559 MiB, 10 %, 490.41 W
2026/04/19 13:59:41.592, 69485 MiB, 81559 MiB, 78 %, 497.21 W
2026/04/19 13:59:42.622, 69485 MiB, 81559 MiB, 79 %, 493.77 W
2026/04/19 13:59:43.649, 69485 MiB, 81559 MiB, 77 %, 603.30 W
2026/04/19 13:59:44.680, 69485 MiB, 81559 MiB, 76 %, 491.81 W
2026/04/19 13:59:45.711, 69485 MiB, 81559 MiB, 75 %, 610.89 W
2026/04/19 13:59:46.743, 69485 MiB, 81559 MiB, 80 %, 500.12 W
2026/04/19 13:59:47.775, 69485 MiB, 81559 MiB, 90 %, 530.39 W
2026/04/19 13:59:48.805, 69485 MiB, 81559 MiB, 76 %, 550.93 W
2026/04/19 13:59:49.834, 69485 MiB, 81559 MiB, 78 %, 495.63 W
2026/04/19 13:59:50.864, 69485 MiB, 81559 MiB, 75 %, 606.03 W
2026/04/19 13:59:51.896, 69485 MiB, 81559 MiB, 78 %, 502.56 W
2026/04/19 13:59:52.927, 69485 MiB, 81559 MiB, 99 %, 593.60 W
2026/04/19 13:59:53.960, 69485 MiB, 81559 MiB, 78 %, 520.70 W
2026/04/19 13:59:54.989, 69485 MiB, 81559 MiB, 76 %, 411.38 W
2026/04/19 13:59:56.022, 69485 MiB, 81559 MiB, 74 %, 612.45 W
2026/04/19 13:59:57.054, 69485 MiB, 81559 MiB, 79 %, 499.33 W
2026/04/19 13:59:58.084, 69485 MiB, 81559 MiB, 95 %, 568.67 W
2026/04/19 13:59:59.115, 69485 MiB, 81559 MiB, 68 %, 510.91 W
2026/04/19 14:00:00.147, 69485 MiB, 81559 MiB, 68 %, 458.90 W
2026/04/19 14:00:01.179, 69485 MiB, 81559 MiB, 76 %, 594.39 W
2026/04/19 14:00:02.248, 69485 MiB, 81559 MiB, 76 %, 502.25 W
2026/04/19 14:00:03.370, 69485 MiB, 81559 MiB, 98 %, 609.39 W
2026/04/19 14:00:04.604, 70013 MiB, 81559 MiB, 81 %, 496.04 W
2026/04/19 14:00:05.648, 70013 MiB, 81559 MiB, 92 %, 567.81 W
2026/04/19 14:00:06.679, 69485 MiB, 81559 MiB, 77 %, 531.19 W
2026/04/19 14:00:07.709, 69485 MiB, 81559 MiB, 32 %, 419.87 W
2026/04/19 14:00:08.746, 69485 MiB, 81559 MiB, 98 %, 591.08 W
2026/04/19 14:00:09.777, 69485 MiB, 81559 MiB, 76 %, 494.05 W
2026/04/19 14:00:10.806, 69485 MiB, 81559 MiB, 91 %, 564.78 W
2026/04/19 14:00:11.838, 69485 MiB, 81559 MiB, 76 %, 543.37 W
2026/04/19 14:00:12.865, 69485 MiB, 81559 MiB, 76 %, 494.73 W
2026/04/19 14:00:13.899, 69485 MiB, 81559 MiB, 75 %, 607.06 W
2026/04/19 14:00:14.994, 69485 MiB, 81559 MiB, 75 %, 494.00 W
2026/04/19 14:00:16.022, 69485 MiB, 81559 MiB, 97 %, 602.86 W
2026/04/19 14:00:17.052, 69485 MiB, 81559 MiB, 77 %, 481.76 W
2026/04/19 14:00:18.083, 69485 MiB, 81559 MiB, 5 %, 407.52 W
2026/04/19 14:00:19.129, 69485 MiB, 81559 MiB, 0 %, 136.24 W
2026/04/19 14:00:20.213, 69485 MiB, 81559 MiB, 75 %, 506.29 W
2026/04/19 14:00:21.243, 69485 MiB, 81559 MiB, 76 %, 488.95 W
2026/04/19 14:00:22.276, 69485 MiB, 81559 MiB, 91 %, 580.14 W
2026/04/19 14:00:23.308, 69485 MiB, 81559 MiB, 55 %, 448.77 W
2026/04/19 14:00:24.339, 69485 MiB, 81559 MiB, 77 %, 458.21 W
2026/04/19 14:00:25.369, 69485 MiB, 81559 MiB, 77 %, 594.33 W
2026/04/19 14:00:26.400, 69485 MiB, 81559 MiB, 77 %, 489.75 W
2026/04/19 14:00:27.430, 69485 MiB, 81559 MiB, 95 %, 547.75 W
2026/04/19 14:00:28.460, 69485 MiB, 81559 MiB, 76 %, 531.02 W
2026/04/19 14:00:29.492, 69485 MiB, 81559 MiB, 76 %, 496.98 W
2026/04/19 14:00:30.525, 69485 MiB, 81559 MiB, 76 %, 613.09 W
